,param_activation,param_hidden_layer_sizes,param_learning_rate_init,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_roc_auc
0,logistic,"(10,)",0.001,0.525,0.5222638646668991,0.552,0.5420078637904914
1,logistic,"(10,)",0.01,0.507,0.5071754809116155,0.506,0.5301092994733425
2,logistic,"(10,)",0.1,0.525,0.5261544160380404,0.512,0.5301574922444268
3,logistic,"(10,)",0.5,0.493,0.4956037829766053,0.454,0.4944800519443041
4,logistic,"(10,)",0.9,0.502,0.5017407298255702,0.614,0.5029299112618137
5,logistic,"(25,)",0.001,0.522,0.5224910949113779,0.522,0.512041050429262
6,logistic,"(25,)",0.01,0.529,0.5281921787709497,0.518,0.5293781112473849
7,logistic,"(25,)",0.1,0.538,0.5381177063712168,0.528,0.540721592958661
8,logistic,"(25,)",0.5,0.491,0.4910798043941782,0.446,0.5111907510280643
9,logistic,"(25,)",0.9,0.495,0.4933729831144466,0.338,0.5049867974893586
10,logistic,"(10, 15)",0.001,0.495,0.49354528439222206,0.566,0.5190393910973234
11,logistic,"(10, 15)",0.01,0.52,0.5329876543209876,0.622,0.5321194718995743
12,logistic,"(10, 15)",0.1,0.548,0.5463558543516408,0.558,0.541229348531852
13,logistic,"(10, 15)",0.5,0.492,0.49621288398862773,0.522,0.48390635596277326
14,logistic,"(10, 15)",0.9,0.515,0.525608561341571,0.47,0.5282694610778443
15,logistic,"(10, 10, 10)",0.001,0.5,0.0,0.0,0.4906190751028064
16,logistic,"(10, 10, 10)",0.01,0.5,0.167,0.334,0.4981770435033547
17,logistic,"(10, 10, 10)",0.1,0.5,0.334,0.668,0.5203935502488999
18,logistic,"(10, 10, 10)",0.5,0.501,0.33363601532567055,0.596,0.5047985715316355
19,logistic,"(10, 10, 10)",0.9,0.506,0.3405909090909091,0.47,0.5280830387417935
20,relu,"(10,)",0.001,0.536,0.5384385036752658,0.506,0.5419687612726355
21,relu,"(10,)",0.01,0.518,0.5198030405405406,0.508,0.526765889906933
22,relu,"(10,)",0.1,0.494,0.4917408392434988,0.71,0.47438355818483513
23,relu,"(10,)",0.5,0.505,0.5464087816944959,0.644,0.4905628742514971
24,relu,"(10,)",0.9,0.504,0.49912911528268794,0.396,0.5034906933121708
25,relu,"(25,)",0.001,0.552,0.5526247345074794,0.55,0.560047110598081
26,relu,"(25,)",0.01,0.534,0.5371009516076226,0.492,0.5510243849650096
27,relu,"(25,)",0.1,0.518,0.4898225806451613,0.088,0.5772808599668134
28,relu,"(25,)",0.5,0.511,0.33976938656280425,0.652,0.5110359281437126
29,relu,"(25,)",0.9,0.482,0.4805612871437235,0.442,0.480437125748503
30,relu,"(10, 15)",0.001,0.488,0.48664809426757555,0.506,0.4981139888896905
31,relu,"(10, 15)",0.01,0.525,0.5243757469301192,0.536,0.5475068176899214
32,relu,"(10, 15)",0.1,0.496,0.26355694980694977,0.306,0.512107640141404
33,relu,"(10, 15)",0.5,0.499,0.0,0.0,0.499
34,relu,"(10, 15)",0.9,0.5,0.167,0.334,0.5
35,relu,"(10, 10, 10)",0.001,0.519,0.521044692353991,0.488,0.5225275232667195
36,relu,"(10, 10, 10)",0.01,0.52,0.5213565419246934,0.492,0.5236569511579251
37,relu,"(10, 10, 10)",0.1,0.5109999999999999,0.5071959527486075,0.734,0.5189383882836736
38,relu,"(10, 10, 10)",0.5,0.5,0.333,0.666,0.5
39,relu,"(10, 10, 10)",0.9,0.5,0.166,0.332,0.5
