,param_activation,param_hidden_layer_sizes,param_learning_rate_init,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_roc_auc
0,logistic,"(10,)",0.001,0.494,0.49619222639159183,0.788,0.4617921506384821
1,logistic,"(10,)",0.01,0.49,0.48210821862581354,0.416,0.498918620590145
2,logistic,"(10,)",0.1,0.52,0.5230137515796601,0.484,0.5207060818122791
3,logistic,"(10,)",0.5,0.528,0.5334388768207522,0.564,0.5273330928504438
4,logistic,"(10,)",0.9,0.5,0.0,0.0,0.5343910251785586
5,logistic,"(25,)",0.001,0.512,0.5067286815068494,0.89,0.5058705721087945
6,logistic,"(25,)",0.01,0.492,0.4664075545283836,0.184,0.46929016665464246
7,logistic,"(25,)",0.1,0.511,0.49974720265085454,0.366,0.5199352139095302
8,logistic,"(25,)",0.5,0.53,0.5209869244326945,0.69,0.5442759541158646
9,logistic,"(25,)",0.9,0.526,0.514920876353081,0.908,0.5550325373349685
10,logistic,"(10, 15)",0.001,0.5,0.167,0.334,0.5226524781761778
11,logistic,"(10, 15)",0.01,0.505,0.33575577557755776,0.64,0.49352182382223503
12,logistic,"(10, 15)",0.1,0.516,0.5135510204081633,0.88,0.5181161532356973
13,logistic,"(10, 15)",0.5,0.5,0.5,1.0,0.5408371690354231
14,logistic,"(10, 15)",0.9,0.5,0.334,0.668,0.5293219103960752
15,logistic,"(10, 10, 10)",0.001,0.5,0.167,0.334,0.5063159223721232
16,logistic,"(10, 10, 10)",0.01,0.5,0.167,0.334,0.43137738979871587
17,logistic,"(10, 10, 10)",0.1,0.5,0.333,0.666,0.46030971791357045
18,logistic,"(10, 10, 10)",0.5,0.5,0.167,0.334,0.4977650241685304
19,logistic,"(10, 10, 10)",0.9,0.5,0.5,1.0,0.5175942572685953
20,relu,"(10,)",0.001,0.509,0.5083994332820406,0.56,0.5115931029507251
21,relu,"(10,)",0.01,0.554,0.5561588975864319,0.518,0.5688041988312532
22,relu,"(10,)",0.1,0.513,0.5047707864091628,0.602,0.5374324363321549
23,relu,"(10,)",0.5,0.5,0.333,0.666,0.5069760479041916
24,relu,"(10,)",0.9,0.499,0.49949544072948326,0.996,0.4989759036144578
25,relu,"(25,)",0.001,0.565,0.566083694601436,0.56,0.5679512300699806
26,relu,"(25,)",0.01,0.54,0.5334532929951746,0.63,0.5531797128634297
27,relu,"(25,)",0.1,0.533,0.5459204817181861,0.568,0.5555032104465768
28,relu,"(25,)",0.5,0.496,0.5747777777777778,0.34,0.49745361085058787
29,relu,"(25,)",0.9,0.5,0.167,0.334,0.5054311377245508
30,relu,"(10, 15)",0.001,0.511,0.5129246529708181,0.548,0.5132066950436477
31,relu,"(10, 15)",0.01,0.535,0.5297405641918885,0.68,0.5575782411081452
32,relu,"(10, 15)",0.1,0.503,0.49255077510168455,0.522,0.5176162614529976
33,relu,"(10, 15)",0.5,0.506,0.3369140625,0.594,0.4876399610417719
34,relu,"(10, 15)",0.9,0.5,0.0,0.0,0.501
35,relu,"(10, 10, 10)",0.001,0.516,0.5566023219718135,0.532,0.5080435033547362
36,relu,"(10, 10, 10)",0.01,0.539,0.5417490434128718,0.528,0.5551880095231224
37,relu,"(10, 10, 10)",0.1,0.486,0.31030682663389714,0.382,0.5196669792944232
38,relu,"(10, 10, 10)",0.5,0.5,0.167,0.334,0.513053892215569
39,relu,"(10, 10, 10)",0.9,0.5,0.0,0.0,0.5
