,param_activation,param_hidden_layer_sizes,param_learning_rate_init,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_roc_auc
0,logistic,"(10,)",0.001,0.525,0.5222638646668991,0.552,0.5420078637904914
1,logistic,"(10,)",0.01,0.507,0.5071754809116155,0.506,0.5301092994733425
2,logistic,"(10,)",0.1,0.525,0.5261544160380404,0.512,0.5301574922444268
3,logistic,"(10,)",0.5,0.493,0.4956037829766053,0.454,0.4944800519443041
4,logistic,"(10,)",0.9,0.502,0.5017407298255702,0.614,0.5029299112618137
5,logistic,"(25,)",0.001,0.504,0.5041611451065815,0.502,0.4998374576148907
6,logistic,"(25,)",0.01,0.525,0.5260476368039945,0.51,0.5293201789192699
7,logistic,"(25,)",0.1,0.533,0.5325669509608453,0.526,0.5403982396652478
8,logistic,"(25,)",0.5,0.491,0.4910798043941782,0.446,0.5111907510280643
9,logistic,"(25,)",0.9,0.495,0.4933729831144466,0.338,0.5049867974893586
10,logistic,"(10, 15)",0.001,0.498,0.4734210132965399,0.416,0.5309076545703773
11,logistic,"(10, 15)",0.01,0.551,0.6036330158730159,0.352,0.5685428179785008
12,logistic,"(10, 15)",0.1,0.514,0.5138595083213652,0.512,0.5235959166005338
13,logistic,"(10, 15)",0.5,0.521,0.5265142685968601,0.5,0.5221167303946325
14,logistic,"(10, 15)",0.9,0.499,0.4998622130171799,0.398,0.5260784936151792
15,logistic,"(10, 10, 10)",0.001,0.5,0.166,0.332,0.45389149412019336
16,logistic,"(10, 10, 10)",0.01,0.5,0.334,0.668,0.4777887598297382
17,logistic,"(10, 10, 10)",0.1,0.5,0.5,1.0,0.5176847990765456
18,logistic,"(10, 10, 10)",0.5,0.505,0.34047286821705425,0.468,0.5329765529182598
19,logistic,"(10, 10, 10)",0.9,0.521,0.5153568281938326,0.916,0.5436317725993796
20,relu,"(10,)",0.001,0.512,0.5142675070028011,0.478,0.5163902315850226
21,relu,"(10,)",0.01,0.511,0.5110439552317602,0.508,0.519903830892432
22,relu,"(10,)",0.1,0.518,0.5146876070816676,0.382,0.554034990260443
23,relu,"(10,)",0.5,0.521,0.1992,0.126,0.5205060240963856
24,relu,"(10,)",0.9,0.519,0.4603217787114846,0.452,0.5203729168169685
25,relu,"(25,)",0.001,0.534,0.5367545633343183,0.508,0.5452531563379266
26,relu,"(25,)",0.01,0.555,0.5549231607783331,0.542,0.5739747492965875
27,relu,"(25,)",0.1,0.469,0.38749620306272287,0.24,0.49054830098838476
28,relu,"(25,)",0.5,0.512,0.6769536423841059,0.452,0.5224164923165716
29,relu,"(25,)",0.9,0.515,0.3483286578092221,0.488,0.515
30,relu,"(10, 15)",0.001,0.545,0.5453872216137277,0.542,0.5433796262895896
31,relu,"(10, 15)",0.01,0.5,0.5015613828757641,0.468,0.4883611572036649
32,relu,"(10, 15)",0.1,0.521,0.7165369565217391,0.216,0.5152946035639563
33,relu,"(10, 15)",0.5,0.5,0.333,0.666,0.5
34,relu,"(10, 15)",0.9,0.498,0.1494,0.018,0.498
35,relu,"(10, 10, 10)",0.001,0.496,0.4956161995898838,0.492,0.4987794531419089
36,relu,"(10, 10, 10)",0.01,0.513,0.5131251612903225,0.498,0.531738799509415
37,relu,"(10, 10, 10)",0.1,0.504,0.46091485406209337,0.486,0.4938003751533079
38,relu,"(10, 10, 10)",0.5,0.507,0.172337899543379,0.226,0.507
39,relu,"(10, 10, 10)",0.9,0.5,0.5,1.0,0.5
